X Axis 
-0.4299
-0.3358
-0.2966
-0.2809
-0.3044
-0.4064
-0.5358
-0.6221
-0.7084
-0.7241
-0.7084
-0.728
-0.728
-0.7869
-0.8614
-0.8692
-0.9241
-0.9947
-1.0183
-1.034
-1.081
-1.1438
-1.2418
-1.3595
-1.3595
-1.2105
-1.0065
-0.9947
-0.9947
-1.0693
-1.1163
-0.9045
-0.7398
-0.6417
-0.4574
-0.3947
-0.2417
-0.0417
0.0368
0.2447
0.4918
0.4447
0.5271
0.6526
0.531
0.8801
0.9389
1.1075
1.1821
1.186
1.1193
0.9624
0.8095
0.6016
0.1819
-0.0887
-0.0103
-0.4025
-0.5829
-0.9163
-1.6968
-1.1242
-1.0653
-1.7125
-1.1516
-0.6182
0.0407
0.9624
1.3154
1.3546
1.1115
0.5937
0.1505
-0.2691
-0.5358
-0.7163
-0.7673
-0.9202
-1.0026
-1.2811
-1.4733
-1.4929
-1.4458
-1.4419
-1.4419
-1.5439
-1.5713
-1.3477
-1.387
-0.8026
-0.0103
1.1625
1.7743
2.3313
2.7706
3.6374
4.7042
5.5435
4.4061
